sub ses blk trl soa cond acc rt
10 1 4 126 0.3 2 1 0.29871
10 1 4 127 0.5 0 1 0.21574
10 1 4 128 0.5 0 1 0.2488
10 1 4 129 0.5 0 1 0.066594
10 1 4 130 0.4 0 1 0.24887
10 1 4 131 0.6 0 1 0.24894
10 1 4 132 0.4 0 1 0.3153
10 1 4 133 0.5 0 1 0.16604
10 1 4 134 0.5 0 1 0.23251
10 1 4 135 0.4 0 1 0.16606
10 1 4 136 0.3 0 1 0.28216
10 1 4 137 0.6 0 1 0.19922
10 1 4 138 0.5 0 1 0.16616
10 1 4 139 0.5 0 0 NA
10 1 4 140 0.3 2 1 0.44785
10 1 4 141 0.5 0 1 0.2988
10 1 4 142 0.6 0 1 0.0168
10 1 4 143 0.4 0 1 0.23238
10 1 4 144 0.4 0 1 0.23239
10 1 4 145 0.6 0 1 0.082977
10 1 4 146 0.3 0 1 0.28226
10 1 4 147 0.5 0 1 0.24891
10 1 4 148 0.6 0 1 0.23263
10 1 4 149 0.4 0 1 0.28229
10 1 4 150 0.5 0 1 0.29879
10 1 4 151 0.4 2 1 0.43157
10 1 4 152 0.4 2 1 0.36548
10 1 4 153 0.4 0 1 0.29858
10 1 4 154 0.5 0 1 0.21583
10 1 4 155 0.6 0 1 0.09986
10 1 4 156 0.5 2 1 0.28217
10 1 4 157 0.6 0 1 0.23235
10 1 4 158 0.5 0 1 0.24874
10 1 4 159 0.3 2 1 0.44772
10 1 4 160 0.3 0 1 0.29853
10 2 1 1 0.4 0 1 0.498
10 2 1 2 0.3 0 1 0.28225
10 2 1 3 0.3 0 1 0.29884
10 2 1 4 0.3 2 1 0.36522
10 2 1 5 0.6 0 1 0.26566
10 2 1 6 0.6 0 1 0.24882
10 2 1 7 0.5 2 1 0.29867
10 2 1 8 0.5 0 1 0.2491
10 2 1 9 0.4 0 1 0.29886
10 2 1 10 0.6 0 1 0.26566
10 2 1 11 0.6 0 1 0.26565
10 2 1 12 0.3 2 1 0.38182
10 2 1 13 0.6 0 1 0.24913
10 2 1 14 0.5 0 1 0.099728
10 2 1 15 0.5 2 1 0.26546
10 2 1 16 0.6 0 0 NA
10 2 1 17 0.4 0 1 0.26567
10 2 1 18 0.6 0 1 0.23248
10 2 1 19 0.5 2 1 0.34872
10 2 1 20 0.5 2 1 0.24907
10 2 1 21 0.5 0 1 0.21588
10 2 1 22 0.6 0 1 0.23247
10 2 1 23 0.4 0 1 0.34864
