subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9004,1,10/10/2022,13:00:00,2,recall,8,NA,faith,10354.1604,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,2,recall,3,NA,intro,2574.1328,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,2,recall,1,NA,music,2281.2223,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,2,recall,6,NA,dough,6712.0169,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,6,NA,breadspace,1980.8591,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,2,NA,mason,3988.727,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,3,NA,booth,1838.5552,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,4,NA,tiger,1421.6239,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,5,NA,chick,1490.1702,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,3,recall,10,NA,width,3753.4195,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,1,NA,hobby,2875.8029,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,5,NA,metro,1926.9035,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,3,NA,arbor,2118.7357,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,4,NA,youth,1450.987,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,4,NA,theif,1537.9015,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,9,NA,piano,1692.6401,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,4,recall,10,NA,karma,1399.5612,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,5,recall,10,NA,chunk,2454.04,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,5,recall,10,NA,varcolis,2634.8191,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,5,recall,1,NA,lemur,1514.555,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,5,recall,9,NA,bunny,1577.2986,1,NA,NA,NA,NA,NA,NA
